left_id,right_id,is_same
p292,p86,0
p293,p68,0
p294,p74,0
p295,p3,0
p296,p3,0
p297,p388,0
p298,p519,0
p299,p58,0
p300,p35,0
p301,p792,0
p302,p87,0
p303,p308,0
p304,p70,0
p305,p38,0
p306,p451,0
p307,p841,0
